probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
INVHsInv1474BP1HG02623	2186	141	0	141	141	
INVHsInv1474BP2HG02623	1559	106	0	106	106	
INVHsInv1569BP1CHM1	1736	20	0	20	20	
INVHsInv1569BP2CHM1	1910	27	0	27	27	
INVHsInv1590BP1NA19240	9693	92	0	92	92	
INVHsInv1590BP2NA19240	1760	109	0	109	109	
INVHsInv1785BP1CHM1	233	141	0	141	141	
INVHsInv1785BP2CHM1	514	149	0	149	149	
INVHsInv1790BP1HG03115	1236	16	0	16	16	
INVHsInv1790BP2HG03115	715	17	0	17	17	
INVHsInv1798BP1NA24149	1114	177	14	163	163	errorMatches
INVHsInv1798BP2NA24149	1723	177	29	148	148	errorMatches
INVHsInv1819BP1HX1	28	15	0	15	15	
INVHsInv1819BP2HX1	976	13	0	13	13	
INVHsInv1820BP1HG03115	1443	34	0	34	34	
INVHsInv1820BP2HG03115	2779	32	0	32	32	
INVHsInv1838BP1YH	1679	109	103	6	6	errorMatches
INVHsInv1838BP2YH	1370	199	0	199	199	
INVHsInv1848BP1NA19129	586	83	0	83	83	
INVHsInv1848BP2NA19129	1968	153	53	100	100	errorMatches
INVHsInv1867BP1NA12878	1909	307	0	307	307	
INVHsInv1867BP2NA12878	1181	517	0	517	517	
INVHsInv1874BP1CHM13	3346	1174	10	1164	1164	errorMatches
INVHsInv1875BP1CHM13	17	6	0	6	6	
INVHsInv1875BP2CHM13	20	7	0	7	7	
REFHsOta1141BP0HG38	4869	1657	1657	0	1657	
REFHsOtb1141BP3HG38	5760	1913	1912	1	1912	errorMatches
REFHsOtb1141BP4HG38	5412	1931	1931	0	1931	
REFHsOtb1874BP3HG38	2601	971	971	0	971	
REFHsOth0154BP0HG38	2222	978	978	0	978	
REFHsOth0170BP0HG38	2405	1173	1173	0	1173	
REFHsOth0171BP0HG38	2474	1497	1497	0	1497	
REFHsOth0178BP0HG38	3046	1351	1351	0	1351	
REFHsOth0182BP0HG38	1403	814	814	0	814	
REFHsOth0186BP0HG38	2946	1670	1669	1	1669	errorMatches
REFHsOth0211BP0HG38	3071	1456	1455	1	0	emptyRef,errorMatches
REFHsOth0224BP0HG38	2750	1496	1496	0	1496	
REFHsOth0310BP0HG38	3599	1578	1577	1	1577	errorMatches
REFHsOth0335BP0HG38	1484	1121	1059	62	1058	errorMatches
REFHsOth0463BP0HG38	2043	785	782	3	782	errorMatches
REFHsOth0574BP0HG38	2411	1346	1339	7	1339	errorMatches
REFHsOth0589BP0HG38	2181	1314	1245	69	1245	errorMatches
REFHsOth0612BP0HG38	3009	1629	1629	0	1629	
REFHsOth0968BP0HG38	2	2	2	0	0	emptyRef
REFHsOth0987BP0HG38	2075	777	771	6	771	errorMatches
REFHsOth0997BP0HG38	2871	1174	1161	13	1161	errorMatches
REFHsOth1004BP0HG38	4081	1069	1069	0	1069	
REFHsOth1013BP0HG38	4982	1558	1558	0	1558	
REFHsOth1112BP0HG38	1833	955	948	7	948	errorMatches
REFHsOth1122BP1HG18	1970	792	792	0	792	
REFHsOth1122BP2HG18	1475	497	497	0	497	
REFHsOth1130BP0HG38	1661	894	894	0	894	
REFHsOth1146BP0HG38	2765	1172	1172	0	1172	
REFHsOth1153BP0HG38	1707	840	840	0	840	
REFHsOth1216BP0HG38	4202	1655	1655	0	1655	
REFHsOth1225BP0HG38	2602	1462	1462	0	1462	
REFHsOth1240BP0HG38	4475	1814	1813	1	1813	errorMatches
REFHsOth1269BP0HG38	3371	2022	2022	0	2022	
REFHsOth1275BP0HG38	2801	1843	1843	0	1843	
REFHsOth1306BP1HG38	9303	3280	3280	0	3280	
REFHsOth1306BP2HG38	8954	3490	3489	1	3489	errorMatches
REFHsOth1313BP0HG38	1	1	1	0	0	emptyRef
REFHsOth1329BP0HG38	3964	1599	1598	1	1598	errorMatches
REFHsOth1376BP0HG38	6750	2003	1980	23	1980	errorMatches
REFHsOth1408BP0HG38	3197	1618	1618	0	1618	
REFHsOth1411BP0HG38	2438	1205	1194	11	1194	errorMatches
REFHsOth1414BP0HG38	2334	1344	1294	50	1294	errorMatches
REFHsOth1422BP0HG38	1908	917	917	0	917	
REFHsOth1425BP0HG38	3552	1991	1991	0	1991	
REFHsOth1428BP1HG38	3983	1369	1348	21	1348	errorMatches
REFHsOth1428BP2HG38	5619	1557	1557	0	1557	
REFHsOth1432BP1HG38	5613	2040	2039	1	2039	errorMatches
REFHsOth1432BP2HG38	5376	1943	1943	0	1943	
REFHsOth1454BP1HG38	3771	1325	1266	59	1264	errorMatches
REFHsOth1454BP2HG38	3500	1431	1424	7	1424	errorMatches
REFHsOth1468BP0HG38	4381	1801	1801	0	1801	
REFHsOth1471BP0HG38	4235	1808	1808	0	1808	
REFHsOth1484BP0HG38	3059	1789	1789	0	1789	
REFHsOth1497BP0HG38	4956	2305	2305	0	2305	
REFHsOth1511BP0HG38	2558	1481	1481	0	1481	
REFHsOth1579BP0HG38	2305	1401	1397	4	1397	errorMatches
REFHsOth1614BP0HG38	9406	3702	3702	0	3702	
REFHsOth1637BP1HG38	3258	1201	1186	15	1185	errorMatches
REFHsOth1637BP2HG38	4109	1432	1432	0	1432	
REFHsOth1667BP1HG38	3057	1372	1372	0	1372	
REFHsOth1667BP2HG38	3961	1392	1392	0	1392	
REFHsOth1681BP1HG38	5217	1800	1113	687	1111	errorMatches
REFHsOth1681BP2HG38	4422	1557	1547	10	1547	errorMatches
REFHsOth1700BP0HG38	3079	1795	1795	0	1795	
REFHsOth1751BP0HG38	2935	1813	1813	0	1813	
REFHsOth1794BP0HG38	5423	1537	1537	0	1537	
STDHsInv0004BP1HG18	2645	1653	1653	0	1653	
STDHsInv0004BP2HG18	2619	1596	1596	0	1596	
STDHsInv0006BP1HG18	1994	946	946	0	946	
STDHsInv0006BP2HG18	1715	791	791	0	791	
STDHsInv0015BP2HG18	980	571	570	1	570	errorMatches
STDHsInv0016BP1HG18	560	154	154	0	154	
STDHsInv0016BP2HG18	524	154	154	0	154	
STDHsInv0041BP1HG18	1770	587	587	0	587	
STDHsInv0041BP2HG18	3725	349	230	119	227	errorMatches
STDHsInv0044BP2HG18	1	0	0	0	0	emptyRef,allFiltered
STDHsInv0058BP1HG18	3897	782	782	0	782	
STDHsInv0058BP2HG18	3057	732	731	1	731	errorMatches
STDHsInv0059BP1HG18	978	578	578	0	578	
STDHsInv0059BP2HG18	2558	571	570	1	570	errorMatches
STDHsInv0060BP1HG18	1520	741	741	0	741	
STDHsInv0060BP2HG18	3559	675	675	0	675	
STDHsInv0068BP1HG18	421	214	214	0	214	
STDHsInv0068BP2HG18	287	167	167	0	167	
STDHsInv0081BP1HG18	1636	728	728	0	728	
STDHsInv0081BP2HG18	2104	794	791	3	791	errorMatches
STDHsInv0091BP1HG38	5552	1898	1898	0	1898	
STDHsInv0091BP2HG38	8305	1948	1948	0	1948	
STDHsInv0092BP1HG18	2803	1665	1665	0	1665	
STDHsInv0092BP2HG18	1752	1004	1003	1	1003	errorMatches
STDHsInv0095BP1HG18	1321	445	444	1	444	errorMatches
STDHsInv0095BP2HG18	1049	499	497	2	497	errorMatches
STDHsInv0097BP1HG18	5563	1821	1821	0	1821	
STDHsInv0097BP2HG18	5952	2016	2015	1	2015	errorMatches
STDHsInv0098BP1HG18	4596	1460	1438	22	1438	errorMatches
STDHsInv0098BP2HG18	6708	2048	2048	0	2048	
STDHsInv0102BP1HG18	3205	1481	1481	0	1481	
STDHsInv0102BP2HG18	3407	1336	1295	41	1295	errorMatches
STDHsInv0105BP1HG18	910	528	528	0	528	
STDHsInv0105BP2HG18	864	521	521	0	521	
STDHsInv0113BP2HG38	3769	1803	1802	1	1802	errorMatches
STDHsInv0141BP1HG38	6694	1709	1709	0	1709	
STDHsInv0141BP2HG38	7231	1796	1796	0	1796	
STDHsInv0156BP1HG18	3540	1319	1319	0	1319	
STDHsInv0156BP2HG18	2548	912	912	0	912	
STDHsInv0163BP1HG18	2489	1503	1503	0	1503	
STDHsInv0163BP2HG18	2384	1265	1265	0	1265	
STDHsInv0164BP1HG38	3647	1666	1666	0	1666	
STDHsInv0164BP2HG38	3872	1727	1727	0	1727	
STDHsInv0174BP1HG18	1941	620	620	0	620	
STDHsInv0174BP2HG18	763	461	461	0	461	
STDHsInv0181BP1HG38	1846	747	747	0	747	
STDHsInv0181BP2HG38	105	0	0	0	0	emptyRef,allFiltered
STDHsInv0191BP1HG38	2	1	0	1	0	emptyRef,errorMatches
STDHsInv0200BP1HG38	1831	419	383	36	383	errorMatches
STDHsInv0201BP1HG18	2384	756	756	0	756	
STDHsInv0201BP2HG18	2555	870	870	0	870	
STDHsInv0212BP1HG38	4	2	2	0	0	emptyRef
STDHsInv0212BP2HG38	4	0	0	0	0	emptyRef,allFiltered
STDHsInv0213BP1HG38	4891	2224	2224	0	2224	
STDHsInv0213BP2HG38	3662	1769	1769	0	1769	
STDHsInv0260BP1HG18	5251	1555	1555	0	1555	
STDHsInv0284BP1HG18	2552	1539	1538	1	1538	errorMatches
STDHsInv0284BP2HG18	3400	1328	1328	0	1328	
STDHsInv0379BP1HG18	1115	620	620	0	620	
STDHsInv0379BP2HG18	4262	1378	1372	6	1372	errorMatches
STDHsInv0409BP1HG18	1516	547	547	0	547	
STDHsInv0409BP2HG18	3135	728	728	0	728	
STDHsInv0442BP1HG38	2350	835	835	0	835	
STDHsInv0442BP2HG38	2898	836	836	0	836	
STDHsInv0553BP1HG38	4582	1851	1765	86	1764	errorMatches
STDHsInv0901BP1HG38	3163	5	5	0	5	
STDHsInv0901BP2HG38	2372	5	5	0	5	
STDHsInv0960BP1HG38	2769	1812	1812	0	1812	
STDHsInv0960BP2HG38	4797	2025	2024	1	2024	errorMatches
STDHsInv0965BP1HG18	2657	1402	1402	0	1402	
STDHsInv0965BP2HG18	3375	1361	1361	0	1361	
STDHsInv0989BP1HG38	3059	1780	1408	372	1387	errorMatches
STDHsInv0989BP2HG38	5184	1830	1830	0	1829	
STDHsInv0991BP1HG38	543	282	282	0	282	
STDHsInv0991BP2HG38	2010	242	242	0	242	
STDHsInv1053BP1HG18	2037	706	706	0	706	
STDHsInv1053BP2HG18	764	373	373	0	373	
STDHsInv1065BP1HG38	3519	1332	1332	0	1332	
STDHsInv1065BP2HG38	3764	1071	1071	0	1071	
STDHsInv1065BP3HG38	2829	1194	1194	0	1194	
STDHsInv1065BP4HG38	3666	865	865	0	865	
STDHsInv1066BP1HG18	3898	1908	1908	0	1908	
STDHsInv1066BP2HG18	3194	1805	1805	0	1805	
STDHsInv1070BP1HG18	4682	1558	1500	58	1473	errorMatches
STDHsInv1070BP2HG18	3026	1184	1132	52	1132	errorMatches
STDHsInv1075BP1HG18	3912	1625	1268	357	1239	errorMatches
STDHsInv1075BP2HG18	2294	1321	1271	50	1271	errorMatches
STDHsInv1116BP1HG18	545	191	191	0	191	
STDHsInv1116BP2HG18	376	221	221	0	221	
STDHsInv1122BP1HG18	2241	826	824	2	824	errorMatches
STDHsInv1122BP2HG18	1497	800	798	2	798	errorMatches
STDHsInv1127BP1HG38	1910	630	629	1	629	errorMatches
STDHsInv1127BP2HG38	432	228	226	2	226	errorMatches
STDHsInv1128BP1HG38	5148	1818	1817	1	1817	errorMatches
STDHsInv1128BP2HG38	5318	1624	1617	7	1617	errorMatches
STDHsInv1129BP1HG38	3675	935	935	0	935	
STDHsInv1129BP2HG38	1787	829	829	0	829	
STDHsInv1143BP1HG38	2	2	2	0	0	emptyRef
STDHsInv1143BP2HG38	1	0	0	0	0	emptyRef,allFiltered
STDHsInv1222BP1HG38	4270	1455	1455	0	1455	
STDHsInv1222BP2HG38	4484	1361	1361	0	1361	
STDHsInv1256BP1HG38	4995	1730	1721	9	1721	errorMatches
STDHsInv1256BP2HG38	4828	1912	1911	1	1911	errorMatches
STDHsInv1258BP1HG38	3909	1570	1570	0	1570	
STDHsInv1258BP2HG38	4743	1744	1741	3	1741	errorMatches
STDHsInv1263BP1HG38	4378	1246	1246	0	1246	
STDHsInv1263BP2HG38	3134	1091	1091	0	1091	
STDHsInv1264BP2HG38	5334	2012	2012	0	2012	
STDHsInv1306BP1HG38	4355	3219	3219	0	3219	
STDHsInv1306BP2HG38	6659	3689	3688	1	3688	errorMatches
STDHsInv1314BP1HG38	4135	1835	1835	0	1835	
STDHsInv1314BP2HG38	4326	1561	1561	0	1561	
STDHsInv1321BP1HG38	1697	999	988	11	988	errorMatches
STDHsInv1321BP2HG38	2998	1093	1092	1	1092	errorMatches
STDHsInv1348BP1HG38	4918	1735	1734	1	1734	errorMatches
STDHsInv1348BP2HG38	3071	1735	1733	2	1733	errorMatches
STDHsInv1358BP1HG38	4007	1196	1196	0	1196	
STDHsInv1358BP2HG38	4417	1563	1563	0	1563	
STDHsInv1360BP1HG38	4746	1841	1841	0	1841	
STDHsInv1360BP2HG38	5716	1463	1463	0	1463	
STDHsInv1402BP1HG38	4411	1739	1739	0	1739	
STDHsInv1402BP2HG38	4087	1614	1532	82	1531	errorMatches
STDHsInv1421BP1HG38	6370	2289	2289	0	2289	
STDHsInv1421BP2HG38	4220	2246	2246	0	2246	
STDHsInv1427BP1HG38	4886	1821	1808	13	1808	errorMatches
STDHsInv1427BP2HG38	3194	1738	1738	0	1738	
STDHsInv1474BP1HG38	3029	1096	1016	80	1016	errorMatches
STDHsInv1474BP2HG38	2210	748	710	38	710	errorMatches
